,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,ANC,REPORT_DAT,METHOD,location,LATITUDE,Year
36,cluster 39,9700.0,violent,-76.99055545291121,2017-03-17T13:48:02.000,homicide,midnight,129719.0,7,8,2017,violent|homicide,,7D3,706,1,009700 1,precinct 121,400820.0,4002 - 4015 block of cole boulevard se,2017-03-17T08:54:10.000,17043506,homicide,8E,2017-03-17T04:00:00.000Z,gun,"38.835270252028899,-76.990557729566135",38.8352624766096,2017
37,cluster 37,7406.0,violent,-76.98843312547659,2017-01-16T10:20:53.000,homicide,midnight,131818.0,7,8,2017,violent|homicide,,7D1,703,1,007406 2,precinct 118,401004.0,2400 - 2599 block of elvans road se,2017-01-16T10:16:34.000,17008702,homicide,8B,2017-01-16T05:00:00.000Z,gun,"38.854178787790651,-76.988435402620382",38.8541710084736,2017
38,cluster 22,9301.0,violent,-76.98326579892971,2017-02-07T03:24:55.000,homicide,midnight,140120.0,5,5,2017,violent|homicide,,5D2,504,1,009301 3,precinct 70,401451.0,1500 - 1599 block of irving street ne,2017-02-07T01:47:31.000,17021389,homicide,5B,2017-02-07T05:00:00.000Z,gun,"38.928965676851398,-76.983268079023205",38.9289578822545,2017
39,cluster 22,9302.0,violent,-76.9858497044625,2017-09-24T21:52:00.000,homicide,midnight,139817.0,5,5,2017,violent|homicide,,5D2,504,1,009302 1,precinct 73,401227.0,2800 - 2899 block of 14th street ne,2017-09-24T21:49:28.000,17166280,homicide,5B,2017-09-24T04:00:00.000Z,gun,"38.926236498774585,-76.985851985194188",38.9262287048241,2017
40,cluster 18,2002.0,violent,-77.0279661666505,2017-11-09T03:55:09.000,homicide,midnight,143086.0,4,4,2017,violent|homicide,,4D2,403,1,002002 3,precinct 54,397576.0,5401  - 5499 block of georgia avenue nw,2017-11-08T23:53:04.000,17194263,homicide,4C,2017-11-09T05:00:00.000Z,gun,"38.955682115034513,-77.027968462303207",38.9556743167228,2017
41,cluster 33,7707.0,violent,-76.94358623990858,2017-12-28T19:25:57.000,homicide,midnight,134556.0,6,7,2017,violent|homicide,,6D2,605,1,007707 2,precinct 106,404895.0,810 - 845 block of adrian street se,2017-12-28T19:18:51.000,17222848,homicide,7E,2017-12-28T05:00:00.000Z,others,"38.878830771389659,-76.943588504585847",38.8788229854285,2017
42,cluster 26,7100.0,violent,-76.9892818942035,2017-09-10T17:57:06.000,homicide,midnight,134605.0,1,6,2017,violent|homicide,,1D3,106,1,007100 2,precinct 91,400930.0,1200 - 1299 block of i street se,2017-09-10T17:56:31.000,17157080,homicide,6B,2017-10-02T04:00:00.000Z,gun,"38.879285314234053,-76.989284173140007",38.8792775298807,2017
43,cluster 36,7408.0,violent,-76.9645863850407,2017-09-27T10:00:55.000,homicide,midnight,131528.0,7,8,2017,violent|homicide,,7D1,702,1,007408 1,precinct 115,403074.0,3000 - 3099 block of 30th street se,2017-09-27T09:48:46.000,17167797,homicide,8B,2017-09-28T04:00:00.000Z,others,"38.851561544748357,-76.964588654600149",38.8515537650733,2017
44,cluster 28,7504.0,violent,-76.9846301568199,2017-10-27T14:42:58.000,homicide,midnight,132389.0,7,8,2017,violent|homicide,,7D1,701,1,007504 1,precinct 114,401334.0,2200 - 2258 block of hunter place se,2017-10-27T12:05:14.000,17186552,homicide,8A,2017-10-27T04:00:00.000Z,gun,"38.859322161388377,-76.984632433092514",38.8593143808914,2017
45,cluster 28,7503.0,violent,-76.989065366943,2017-04-17T19:42:35.000,homicide,midnight,132834.0,7,8,2017,violent|homicide,,7D1,701,1,007503 1,precinct 114,400949.0,2200 2270  block of mount view place se,2017-04-17T19:03:46.000,17063243,homicide,8A,2017-04-18T04:00:00.000Z,gun,"38.863331408046569,-76.989067644840517",38.863323626905206,2017
